English,German,type
house,Haus,noun
car,Auto,noun
book,Buch,noun
table,Tisch,noun
chair,Stuhl,noun
door,Tür,noun
window,Fenster,noun
street,Straße,noun
school,Schule,noun
teacher,Lehrer,noun
student,Schüler,noun
pen,Kugelschreiber,noun
paper,Papier,noun
computer,Computer,noun
phone,Telefon,noun
dog,Hund,noun
cat,Katze,noun
bird,Vogel,noun
fish,Fisch,noun
apple,Apfel,noun
banana,Banane,noun
bread,Brot,noun
water,Wasser,noun
milk,Milch,noun
coffee,Kaffee,noun
tea,Tee,noun
beer,Bier,noun
wine,Wein,noun
breakfast,Frühstück,noun
lunch,Mittagessen,noun
dinner,Abendessen,noun
day,Tag,noun
night,Nacht,noun
morning,Morgen,noun
evening,Abend,noun
week,Woche,noun
month,Monat,noun
year,Jahr,noun
friend,Freund,noun
family,Familie,noun
mother,Mutter,noun
father,Vater,noun
brother,Bruder,noun
sister,Schwester,noun
child,Kind,noun
baby,Baby,noun
man,Mann,noun
woman,Frau,noun
city,Stadt,noun
village,Dorf,noun
train,Zug,noun
bus,Bus,noun
bicycle,Fahrrad,noun
ticket,Ticket,noun
money,Geld,noun
shop,Geschäft,noun
market,Markt,noun
restaurant,Restaurant,noun
hotel,Hotel,noun
hospital,Krankenhaus,noun
doctor,Arzt,noun
nurse,Krankenschwester,noun
police,Polizei,noun
airport,Flughafen,noun
station,Bahnhof,noun
park,Park,noun
garden,Garten,noun
tree,Baum,noun
flower,Blume,noun
sun,Sonne,noun
moon,Mond,noun
rain,Regen,noun
snow,Schnee,noun
wind,Wind,noun
warm,warm,adjective
cold,kalt,adjective
hot,heiß,adjective
big,groß,adjective
small,klein,adjective
good,gut,adjective
bad,schlecht,adjective
new,neu,adjective
old,alt,adjective
beautiful,schön,adjective
ugly,hässlich,adjective
easy,einfach,adjective
difficult,schwierig,adjective
zero,null,numeral
one,eins,numeral
two,zwei,numeral
three,drei,numeral
four,vier,numeral
five,fünf,numeral
six,sechs,numeral
seven,sieben,numeral
eight,acht,numeral
nine,neun,numeral
ten,zehn,numeral
eleven,elf,numeral
twelve,zwölf,numeral
thirteen,dreizehn,numeral
fourteen,vierzehn,numeral
fifteen,fünfzehn,numeral
sixteen,sechzehn,numeral
seventeen,siebzehn,numeral
eighteen,achtzehn,numeral
nineteen,neunzehn,numeral
twenty,zwanzig,numeral
thirty,dreißig,numeral
forty,vierzig,numeral
fifty,fünfzig,numeral
sixty,sechzig,numeral
seventy,siebzig,numeral
eighty,achtzig,numeral
ninety,neunzig,numeral
hundred,hundert,numeral
thousand,tausend,numeral
monday,Montag,noun
tuesday,Dienstag,noun
wednesday,Mittwoch,noun
thursday,Donnerstag,noun
friday,Freitag,noun
saturday,Samstag,noun
sunday,Sonntag,noun
january,Januar,noun
february,Februar,noun
march,März,noun
april,April,noun
may,Mai,noun
june,Juni,noun
july,Juli,noun
august,August,noun
september,September,noun
october,Oktober,noun
november,November,noun
